"kidney development"	"sự phát triển của thận"
"kidney stones"	"sỏi thận"
"killer T cell"	"tế bào T giết người"
"kilobase (kb)"	"kilô bazơ"
"kilobase pairs (kbp)"	"các cặp kilô bazơ"
"kilodalton (kd)"	"kilodalton"
"kin ety"	"thể động"
"kin selection"	"chọn lọc theo dòng họ"
"kinaesthesia"	"chứng mất cảm giác vận động"
"kinaesthesis"	"cảm giác vận động"
"kinase"	"kinaza"
"kinases"	"kinaza"
"kinase assays"	"xét nghiệm bằng kinaza"
"kinesin"	"kinesin"
"kinesis"	"(sự) vận động theo (cường độ) kích thích"
"kinetin"	"kinetin, chất sinh trưởng thực vật"
"kinetochore"	"vùng gắn thoi, đoạn trung tâm"
"kinetic energy"	"năng lượng vận động, năng lượng chuyển hoá"
"kinetodesma"	"sợi động"
"kingdom"	"giới"
"kinin"	"kinin"
"kinome"	"kinom"
"Klenow fragment"	"đoạn Klenow"
"klinostat"	"máy hồi chuyển"
"knee"	"đầu gối"
"kneecap"	"xương bánh chè"
"knockdown"	"đánh gục"
"knockin"	"nhập gen, biểu hiện gen nhập"
"knockout"	"nốc ao"
"knockout (gene)"	"nốc ao (gen), bất hoạt gen chủ"
"knot"	"nốt, mấu"
"knot"	"mắt"
"knottins"	"nhiều mấu, nhiều mắt"
"KO"	"thuốc nhuộm màu cam Kusabira"
"Koch’s postulates"	"luận đề Koch"
"Korsakoff’s psychosis"	"(chứng) loạn tâm thần Korsakoff"
"Korsakoff’s syndrome"	"hội chứng Korsakoff"
"Koseisho"	"cơ quan phê duyệt dược phẩm mới của Chính phủ Nhật"
"kozak sequence"	"trình tự kozak"
"konzo"	"xem lathyrism"
"Krantz anatomy"	"giải phẫu Krantz"
"Krebs cycle"	"chu trình Krebs"
"Krummholz"	"cây thấp vùng núi cao"
"K-selection"	"chọn lọc K"
"K-selection"	"chọn lọc theo K"
"K-strategist"	"chiến lược K"
"Kupifer cell"	"tế bào Kupifer"
"kurtosis"	"độ nhọn"
"K-value"	"giá trị K"
"kunitz trypsin inhibitor"	"chất ức chế trypsin Kunitz"
"kusabira orange"	"thuốc nhuộm màu cam kusabira"
"label"	"đánh dấu (bằng huỳnh quang hoặc phóng xạ)"
"labeled molecules or cells"	"các phân tử hoặc tế bào được đánh dấu"
"labelling theory"	"thuyết đánh dấu"
"labia"	"cánh môi"
"labia"	"mảnh môi sờ, tuỳ dưới môi"
"labia"	"thuỳ vòi"
"labial"	"môi"
"labial palp"	"mảnh môi sờ"
"labia majora"	"môi lớn"
"labia minora"	"môi bé"
"labiate"	"(có) môi"
"labium"	"mảnh môi"
"labrum"	"mảnh môi trên, mảnh môi trước"
"labyrinth"	"mê lộ, đường rối"
"labyrinthodont"	"(có) răng rối"
"lab-on-a-chip"	"phòng thí nghiệm trên con chip"
"lac"	"nhựa cánh kiến thô"
"lac operon"	"operon lac"
"LACI"	"viết tắt của Lipoprotein-Associated Coagulation (Clot) Inhibitor"
"laccase"	"laccaza"
"lachrymal"	"(thuộc) nước mắt, lệ"
"lachrymal fluid"	"nước mắt, lệ"
"laciniate"	"xẻ thuỳ, khía sâu"
"lacrimal"	"(thuộc) nước mắt, lệ"
"lacrimal duct"	"ống lệ"
"lacrimal gland"	"tuyến lệ"
"lacrimation"	"(sự) chảy nước mắt"
"lactation"	"(sự) tiết sữa"
"lacteals"	"mạch nhũ chấp"
"lactic"	"(thuộc) sữa"
"lactic acids"	"axit lactic"
"lactiferous"	"(có) nhựa mủ"
"lactiferous"	"(có) sữa"
"lactiferous ducts"	"ống nhựa mủ, ống sữa"
"lactobacilli"	"vi khuẩn lactoza"
"Lactobacillaceae"	"họ Vi khuẩn sữa"
"lactoferricin"	"lactoferricin"
"lactoferrin"	"lactoferrin"
"lactonase"	"lactonaza"
"lactoperoxidase"	"lactoperoxidaza"
"lactose"	"lactoza"
"lacuna"	"khoang trống, chỗ trống"
"lagena"	"bình mang"
"lagenostome"	"ống dẫn trứng"
"lagging"	"(sự) rớt lại"
"lagging strand"	"sợi chậm (sao chép chậm)"
"Lagomorpha"	"bộ Gặm nhấm"
"lagopodous"	"(có) chân phủ lông"
"lalling"	"(sự) nói bập bẹ"
"Lamarckism"	"chủ nghĩa Lamarck"
"lambda bacteriophage"	"thực khuẩn thể lamda"
"lambda chain"	"chuỗi lamda"
"lambda phage"	"thực khuẩn thể lamda"
"lamella"	"phiến, bản mỏng, lá mỏng"
"lamellibranch"	"(có) mang phiến"
"lamina"	"cấu trúc dạng phiến"
"lamina"	"phiến, tấm mỏng, lớp mỏng"
"lamina propria"	"lớp đệm niêm mạc"
"laminarin"	"laminarin"
"laminar flow"	"lớp mỏng, dòng nhỏ"
"lamina terminalis"	"tấm tận cùng, lá tận cùng"
"laminin"	"laminin"
"lamins"	"lamin"
"lampbrush chromosome"	"nhiễm sắc thể chổi đèn"
"lanate"	"(có) lông mịn,  dạng lông mịn"
"lanceolate"	"(có) dạng mác"
"lanciriating"	"đau nhói, đau nhức nhối"
"Langerhans cell"	"tế bào Langerhans"
"landrace"	"giống truyền thống"
"Langerhans cells"	"(các) tế bào Langerhans"
"Langerhans islets"	"đảo Langerhans"
"language acquisition device"	"vùng ngôn ngữ, bộ lĩnh hội ngôn ngữ"
"laniary"	"(thuộc) răng xé mồi,  dạng răng xé mồi"
"lanuginose"	"(có) lông tơ,  lông măng"
"lanugo"	"lông máu"
"lapidicolous"	"sống dưới đá"
"Laplace law"	"quy tắc Laplace"
"large intestine"	"ruột già, đại tràng"
"larva"	"ấu trùng, ấu thể"
"larva instars"	"tuổi ấu trùng"
"larviparous"	"đẻ ấu thể, đẻ ấu trùng"
"larvivorous"	"ăn ấu thể, ăn ấu trùng"
"Laryngeal receptor"	"thụ quan thanh quản"
"larynx"	"thanh quản"
"latency"	"(tính) âm ỉ, (tính) tiềm tàng, (tính) nghỉ"
"latency period"	"giai đoạn tiềm tàng"
"Laryngotracheal chamber"	"túi hầu-khí quản"
"latency stage"	"giai đoạn tiềm tàng"
"latent"	"tiềm ẩn, nghỉ, âm ỉ"
"latent content"	"nội dung ẩn"
"latent heat"	"tim nghỉ tiềm tàng"
"latent learning"	"tập quen ngầm"
"latent period"	"thời kỳ tiềm tàng, thời kỳ chậm phát"
"lateral"	"(thuộc) bên, cạnh, cành bên"
"lateral fissure"	"kẽ nứt đường bên"
"lateral geniculate nucleus"	"nhân khuỷu bên"
"lateral inhibition"	"ức chế đường bên"
"lateral intercellular space"	"khoảng bên gian bào"
"lateral line system"	"hệ thống đường bên"
"lateral meristem"	"mô phân sinh bên"
"lateral plate"	"tấm bên"
"laterigrade"	"đi ngang, bò ngang"
"laterosphenoid"	"xương bướm"
"late genes"	"các gen biểu hiện muộn"
"late protein"	"protein (giúp gen) biểu hiện muộn"
"late wood"	"gỗ muộn"
"latex"	"nhựa mủ"
"latex"	"latex"
"laticiter"	"tế bào nhựa mủ, ống nhựa mủ"
"laser capture microdissection"	"vi phẫu bằng laser"
"laser inactivation"	"bất hoạt bằng laser"
"lateral line system"	"hệ thống cơ quan đường bên"
"laterality"	"(tính) chuyên hoá bên"
"laterallzation"	"(sự) chuyên hoá bê"
"lateral line"	"đường bên"
"lathyrism"	"chứng liệt chân do ngộ độc lathyrus"
"latitude"	"vĩ độ"
"lattice hypothesis"	"giả thuyết mạng lưới"
"Lauraceae"	"họ Nguyệt quế"
"law of effect"	"luật hiệu quả"
"layering"	"(sự) phân lớp, phân tầng"
"layering"	"(sự) ép cành tạo cây mới"
"leaching"	"(sự) rửa lũa, ngâm lũa"
"laurate"	"người được giải thưởng"
"lauric acid"	"axit lauric"
"lauroyl-acp thioesterase"	"thioesteraza lauroyl-acp"
"lazaroids"	"lazaroid"
"l-carnitine"	"l-carnitin"
"LCM"	"phép vi phẫu bắt giữ bằng laze (Laser Capture Microdissection)"
"LCPUFA"	"viết tắt của Long Chain Poly-Unsaturated Fatty Acids"
"LD"	"mất cân bằng liên kết (Linkage Disequilibrium)"
"LDL"	"viết tắt của Low-Density Lipoprotein"
"LDLP"	"viết tắt của Low-Density LipoProtein"
"LDLP  receptors"	"thụ quan LDLP"
"LE cell"	"tế bào LE"
"lead"	"đường dẫn"
"lead equivalent"	"đương lượng chì"
"leader"	"dẫn đầu, ngọn chính, thân chính"
"leader peptides"	"peptid dẫn đầu"
"leader sequence"	"trình tự dẫn đầu, đoạn dẫn đầu (một đoạn mRNA)"
"lead poisoning"	"nhiễm độc chì"
"lead protection"	"bảo vệ (bằng) chì"
"leaf"	"lá"
"leaf area index"	"chỉ số diện tích lá"
"leaf gap"	"hốc lá"
"leaflet"	"lá chét, lá con"
"leaf mosaic"	"khảm lá"
"leaf scar"	"sẹo lá"
"leaf sheath"	"bẹ lá, bao lá"
"leaf succulent"	"thực vật lá mọng"
"leaf trace"	"vết lá"
"leak channels"	"kênh lỗ"
"leaky mutants"	"đột biến rò, đột biến không triệt để"
"LEAR"	"hạt chín có hàm lượng axit erucic thấp (low-erucic-acid rapeseed)"
"learned helplessness"	"bất lực tập quen"
"learning"	"(sự) học tập, tập quen"
"learning set"	"định hướng tập quen"
"learning theory"	"thuyết học tập, thuyết tập quen"
"least distance of distinct vision"	"khoảng nhìn rõ tối thiểu"
"lecithin"	"lecithin, chất lòng đỏ, chất noãn hoàng"
"lecithocoel"	"khoang noãn hoàng, túi noãn hoàng"
"lectin"	"lectin"
"leg"	"chân"
"leghaemoglobin"	"hemoglobin đậu"
"legume"	"quả đậu"
"legume"	"cây đậu"
"Leguminosae"	"họ Đậu"
"leguminous"	"(thuộc) cây họ Đậu"
"lemma"	"mày dưới, mày ngoài"
"lemniscal system"	"hệ thống chất trắng"
"lens"	"thể thuỷ tinh, nhân mắt"
"lentic"	"(thuộc) nước đứng, nước đọng, nước tù"
"lentic ecosystem"	"hệ sinh thái nước đứng"
"lenticel"	"lỗ vỏ"
"lenticular"	"(có) dạng thấu kính"
"lentiform nucleus"	"nhân dạng thấu kính"
"Lepidoptera"	"bộ Cánh vảy"
"lepidote"	"(được) phủ vảy"
"lepospondylous"	"(có) đốt sống hai mặt"
"lepromin test"	"thử nghiệm lepromin"
"leptin"	"leptin"
"leptin receptors"	"thụ quan leptin"
"leptocercal"	"(có) đuôi mỏng,  đuôi thon dài"
"leptocercous"	"(có) đuôi mỏng,  đuôi thon dài"
"leptodactylous"	"(có) ngón thon dài"
"leptodermatous"	"(có) da mỏng,  bì mỏng"
"leptom"	"libe, mô mạch libe"
"leptome"	"libe, mô mạch libe"
"leptonema"	"sợi mảnh"
"leptosporangium"	"túi bào tử mỏng"
"leptotene"	"leptoten, giai đoạn sợi"
"Leslie matrix model"	"mô hình khuôn Leslie"
"lessivage"	"(sự) rửa trôi sét"
"lethal"	"(thuộc) gây chết"
"lethal dose"	"liều lượng gây chết"
"lethal factor"	"yếu tố gây chết"
"lethal gene"	"gen gây chết"
"lethal mutation"	"đột biến gây chết"
"leu"	"viết tắt của leucine"
"leucine"	"leucin"
"leucoblast"	"nguyên bào bạch cầu"
"leucocyte"	"bạch  cầu"
"leucocytopenia"	"(sự) giảm bạch cầu"
"leucocytosis"	"(sự) tăng bạch cầu"
"leucon"	"cấu trúc leucon"
"leucopenia"	"(sự) giảm bạch cầu"
"leucoplast"	"hạt không màu, vô sắc lạp"
"leukaemia"	"ung thư bạch cầu"
"leukemia"	"ung thư bạch cầu"
"leukocytes"	"bạch cầu"
"leukotrienes"	"lơkotrien, leukotrien"
"levator"	"cơ nâng"
"levorotary (l) isomer"	"chất đồng phân quay trái (l)"
"lewisite"	"levisit"
"Leydig’s duct"	"ống Leydig"
"Leydig cells"	"tế bào Leydig"
"L-forms"	"dạng L"
"LH"	"viết tắt của Luteinizing Hormone"
"Lhiidae"	"phân lớp Loa kèn, tổng bộ Loa kèn"
"liana"	"cây leo"
"liane"	"cây leo"
"libido"	"dục vọng"
"library"	"thư viện"
"lichen"	"địa y"
"Lie detector"	"máy phát hiện nói dối"
"lie"	"lách"
"Lieberkuhn’s crypts"	"hốc Lieberkuhn’s , khe ruột non, khe Lieberkuhn’s"
"lienal"	"(thuộc) lách"
"liengastric"	"(thuộc) lách-dạ dày"
"LIF"	"huỳnh quang được tạo ra bằng laze (laser-induced fluorescence)"
"life cycle"	"chu kỳ sống, vòng đời"
"life form"	"dạng sống"
"life table"	"bảng sức sống, bảng thông số sinh học"
"ligament"	"dây chằng"
"life-history"	"lịch sử đời sống"
"ligand"	"phối tử"
"ligase"	"ligaza"
"ligation"	"(sự) nối"
"light (L) chain"	"chuỗi nhẹ L"
"light"	"ánh sáng, chiếu sáng"
"light-chain variable (vl) domains"	"vùng biến động chuỗi nhẹ"
"light microcope"	"kính hiển vi quang học"
"light reactions"	"(các) phản ứng sáng"
"light trap (cái)"	"bẫy đèn"
"light using ratio"	"hệ số sử dụng năng lượng ánh sáng"
"lignans"	"sợi gỗ"
"lignicole"	"sống trong gỗ"
"lignicolous"	"sống trong gỗ"
"lignin"	"chất gỗ, lignin"
"lignivorous"	"(thuộc) ăn gỗ"
"lignocellulose"	"lignocelluloza"
"ligulate"	"(có) thìa lìa,  mảnh lưỡi,  lưỡi nhỏ"
"Liliaceae"	"họ Loa kèn"
"Liliopsida"	"lớp Hành, lớp Loa kèn, lớp Huệ"
"limb"	"chi, chân, cánh"
"limb"	"phiến (lá)"
"limb"	"mép cánh hoa"
"limb muscle"	"cơ chi"
"limbic system"	"hệ limbic"
"limbous"	"chờm lên nhau"
"lime-induced chlorosis"	"(bệnh) vàng úa do vôi"
"limicolous"	"sống trong bùn"
"limit cycle"	"chu kỳ giới hạn, ổn định"
"limiting factor"	"nhân tố giới hạn"
"limivorous"	"ăn bùn"
"limnobiotic"	"sống ở nước ngọt"
"limnology"	"hồ học"
"limnophilous"	"ưa đầm hồ"
"limonene"	"limonen"
"Lincoln index"	"chỉ số Lincohl, chỉ số độ lớn quần thể"
"linear"	"đài"
"linear"	"tuyến tính , thẳng hàng"
"lingua"	"lưỡi"
"lingua"	"mảnh hạ hầu, mảnh dưới hầu"
"lingua"	"đáy miệng"
"lingual"	"(thuộc) lưỡi, lưỡi gai"
"lingual lipase"	"lipaza lưỡi"
"lingulate"	"(có) dạng lưỡi"
"linkage"	"(sự) liên kết"
"linkage disequilibrium"	"bất cân bằng liên kết"
"linkage group"	"nhóm liên kết"
"linkage map"	"bản đồ liên kết"
"linkaged gene"	"gen liên kết"
"linker"	"tác nhân liên kết, tác nhân kết nối, linke"
"linker protein"	"protein liên kết"
"linking"	"kết nối"
"Linnaean system"	"hệ thống phân loại Linnaeus"
"linoleic acid"	"axit linoleic"
"linolenic acid"	"axit linolenic"
"LPAAT protein"	"protein LPAAT (LysoPhosphatidic Acid Acyl Transferase)"
"lipase"	"lipaza"
"lipid bilayer"	"lớp kép lipid"
"lipid body"	"thể lipid"
"lipid rafts"	"mảng lipid (nổi)"
"lipid sensors"	"đầu dò lipid"
"lipid vesicles"	"khoang lipid"
"lipidomics"	"hệ mỡ học"
"lipogenous"	"sinh mỡ, sinh lipid, tạo mỡ"
"lipolytic enzymes"	"enzym phân giải lipid"
"lipophilic"	"ưa mỡ"
"lipoplast"	"thể lipid"
"lipopolysaccharide"	"lipopolysacarid"
"lipoprotein"	"lipoprotein"
"lipoprotein-associated coagulation inhibitor (LACI)"	"chất chống đông liên kết lipoprotein, chất ức chế vón cục liên kết lipoprotein"
"liposome"	"liposom"
"lipoxidase"	"lipoxidaza"
"lipoxygenase (lox)"	"lipoxygenaza"
"lipoxygenase null"	"không có lipoxygenaza"
"lissencephalous"	"(có) bán cậu đại não trơn"
"Listeria monocytogenes"	"vi khuẩn Listeria monocytogenes"
"lithite"	"hạt vôi, sỏi"
"lithocyts"	"túi sỏi, túi đá"
"lithodomous"	"sống trong hốc đá, sống trong kẽ đá"
"lithogenous"	"tạo đá, hoá đá"
"lithophagous"	"ăn đá"
"lithophagous"	"đục đá, khoan đá"
"lithophyte"	"thực vật mọc trên đá"
"lithotomous"	"khoan đá, đục đá"
"litter"	"lớp phủ"
"littoral"	"ven biển"
"littoral"	"vùng hồ nông"
"littoral seaweed communities"	"quần xã cỏ biển ven biển"
"littoral zone"	"vùng ven biển"
"liver"	"tuyến tiêu hoá, gan tuỵ"
"liver"	"gan"
"live cell array"	"dàn tế bào sống"
"liver flukes"	"sán lá gan"
"liver x receptors (lxr)"	"thụ quan X của gan"
"liverworts"	"lớp Địa tiền"
"LMO"	"viết tắt của Living Modified Organism"
"loci"	"locut (số nhiều)"
"living modified organism"	"sinh vật biến đổi gen"
"Lloyd Morgan’s canon"	"quy tắc Lloyd Morgan"
"loam"	"đất thịt, đất pha"
"lobate"	"phân thuỳ, xẻ thuỳ, chia thuỳ"
"lobe"	"thuỳ"
"lobed"	"phân thuỳ, xẻ thuỳ, chia thuỳ"
"lobopodium"	"chân thuỳ"
"lobose"	"(có) thuỳ"
"lobotomy"	"(thủ thuật) mở thuỳ"
"lobular"	"(thuộc) thuỳ nhỏ, tiểu thuỳ"
"lobular of testis"	"thùy tinh hoàn"
"lobulate"	"xẻ thuỳ nhỏ, chia thuỳ nhỏ"
"lobulus"	"tiểu thuỳ"
"local potential"	"điện thế cục bộ"
"local stability of community"	"ổn định tại chỗ của quần xã"
"localization"	"(sự) định vị"
"lockjaw"	"(bệnh) uốn ván,  co cứng cơ"
"locular"	"(thuộc) ô, ngăn, phòng"
"locule"	"xoang, ô, ngăn, phòng"
"loculicidal"	"xẻ ô, xẻ vách dọc"
"loculus"	"xoang, ô, ngăn phòng"
"locus"	"locut"
"locust"	"châu chấu"
"lodicules"	"mày cực nhỏ"
"logistic equation"	"phương trình logistic"
"logistic growth"	"sinh trưởng logistic"
"logistic population growth"	"quần thể sinh trưởng Logistic"
"lomasome"	"lomasom, thể biên, túi biên"
"lomentose"	"(có) quả thắt ngấn"
"lomentum"	"quả thắt ngấn"
"long-day plant"	"cây ngày dài"
"long gevity"	"tuổi thọ"
"longicorn"	"(có) râu dài,  sừng dài,  vòi dài,  anten dài"
"longipennate"	"(có) cánh dài,  lông vũ dài"
"longirostral"	"(có) mỏ dài,  vòi dài"
"longitudinal valve"	"van dọc"
"long shoot"	"chồi dài, chồi vượt, chồi vươn"
"locus"	"locut"
"LOI"	"lạc đàn, mất dấu vết (loss of imprinting)"
"long terminal repeat"	"đoạn lặp dài ở đầu cuối"
"long-sightedness"	"tật viễn thị"
"long-term memory"	"trí nhớ dài hạn"
"looming response"	"phản ứng kinh hoàng"
"loop"	"vòng nút"
"looping movement"	"chuyển động vòng nút"
"loops of Henle"	"nút Henle"
"loose connective tissue"	"mô liên kết lỏng"
"loph"	"mào răng"
"lophobranchiate"	"(có) tấm mang lược"
"lophodont"	"(có) răng mào,  răng lược"
"lophophore"	"thể lược"
"loral"	"(thuộc) vùng gian mắt mỏ"
"lore"	"vùng gian mắt mỏ"
"lorica"	"vỏ giáp"
"lotic ecosystem"	"hệ sinh thái nước chảy"
"LOSBM"	"thức ăn đậu tương nghèo oligosaccharid (Low-Oligosaccharide Soybean Meal)"
"loss of imprinting"	"mất dấu"
"loss-of-function mutations"	"đột biến chức năng mất dấu"
"Lotka’s equations"	"(các) phương trình Lotka"
"Lotka-Volterra model"	"mô hình Lotka-Vontera"
"lower quartile"	"điểm tứ phân vị dưới"
"low-density lipoproteins (LDLP)"	"lipoprotein độ đậm thấp"
"low-linolenic oil soybeans"	"đậu tương (có hàm lượng) dầu linolenic thấp"
"low-lipoxygenase soybeans"	"đậu tương (có hàm lượng) lipoxygenaza thấp"
"low-phytate corn"	"ngô (có hàm lượng) phytat thấp"
"low-phytate soybeans"	"đậu tương (có hàm lượng) phytat thấp"
"low-stachyose soybeans"	"đậu tương (có hàm lượng) stachyoza thấp"
"low-temperature tolerance"	"(tính) chịu nhiệt độ thấp"
"low-tillage crop production"	"sản xuất cây trồng trên đất thấp"
"lox"	"viết tắt của lipoxygenaza"
"lox null soybeans"	"đậu tương lox-0, đậu tương không có lipoxygenaza"
"lox-1"	"lipoxygenaza-1"
"lox-2"	"lipoxygenaza-2"
"lox-3"	"lipoxygenaza-3"
"LPS"	"viết tắt của LipoPolySaccharide"
"LSD"	"viết tắt của Lysine Specific Demethylase"
"l-selectin"	"selectin-l"
"lucid dreaming"	"mơ tỉnh"
"luciferase"	"luciferaza"
"luciferin"	"luciferin"
"lumbar"	"(thuộc) động mạch thắt lưng, thần kinh thắt lưng, đốt sống thắt lưng"
"lumen"	"khoang tế bào"
"lumen"	"lòng ống"
"luminase"	"luminaza"
"luminesce"	"phát quang, phát sáng"
"luminescence"	"(sự) phát quang, phát sáng"
"luminescent assays"	"xét nghiệm phát quang"
"luminophore"	"vật mang huỳnh quang"
"lunar"	"xương nguyệt"
"lunate"	"(thuộc) trăng khuyết, bán nguyệt,  dạng liềm"
"lung"	"phổi"
"lung book"	"phổi lá sách"
"lung-irritant receptor"	"thụ quan kích thích phổi"
"lung-related pressure"	"áp suất phổi"
"lunula"	"vết liềm, thể liềm"
"lunular"	"(có) dạng liềm"
"lunulate"	"(thuộc) trăng khuyết, bán nguyệt,  dạng liềm"
"lunule"	"vết liềm, thể liềm"
"lupus"	"luput"
"lupus erythematosus"	"luput ban đỏ"
"lupus erythematosus cell"	"tế bào luput ban đỏ"
"luteal"	"(thuộc) tế bào thể vàng"
"luteal phase"	"pha thể vàng"
"lutein cells"	"tế bào lutein, tế bào thể vàng"
"lutein"	"lutein, thể vàng"
"luteinizing hormone"	"hormon thể vàng"
"luteinizing hormone-releasing hormone"	"giải phóng hormon tạo thể vàng"
"luteolin"	"luteolin"
"lux gene"	"gen lux (gen phát sáng)"
"lux proteins"	"protein lux (protein phát sáng)"
"lxr"	"viết tắt của liver x receptors"
"lycopene"	"lycopen"
"Lycopsida"	"lớp Thạch tùng"
"lymph"	"lympho , bạch huyết"
"lymph gland"	"tuyến bạch huyết"
"lymph heart"	"tim bạch huyết"
"lymphatic duct"	"ống bạch huyết"
"lymphatic system"	"hệ bạch huyết"
"lymphatic valves"	"van bạch huyết"
"lymphocyte"	"tế bào lympho"
"lymphocyte function associated molecules"	"phân tử liên quan tới chức năng lympho bào"
"lymphocytes"	"tế bào lympho, lympho bào"
"lymphogenous"	"sinh bạch huyết, tạo bạch huyết"
"lymphoid organs"	"cơ quan lympho"
"lymphoid stem cells"	"tế bào dạng lympho"
"lymphoid tissues"	"mô lympho, mô bạch huyết"
"lymphokine"	"lymphokin"
"lymphoma"	"u lympho, ung thư mô bạch huyết"
"lymph sinuses"	"(các) xoang bạch huyết"
"lymph vessels"	"mạch  bạch  huyết"
"lymphotoxin"	"lymphotoxin"
"lyocytosis"	"(sự) tiêu mô"
"lyochrome"	"lyochrom"
"lyophilization"	"làm khô lạnh"
"lyra"	"thể lia"
"lyrate"	"(có) dạng bàn lia"
"lyriform organs"	"cơ quan dạng đàn lia"
"lys"	"viết tắt của lysine"
"lyse"	"tan, tiêu"
"lysergic acid diethylamide"	"diethylamit axit lysergic"
"lysin"	"lysin, tiêu tố"
"lysine"	"lysin"
"lysine specific demethylase (LSD)"	"demethylaza đặc hiệu lysin"
"lysis"	"(sự) phân giải, tiêu"
"lysogenic"	"tiềm tan"
"lysogenic cycle"	"chu trình tiềm tan"
"lysogeny"	"(sự) tiềm tan"
"lysophosphatidylethanolamine"	"lysophosphatidylethanolamin"
"lysosome"	"lysosom, tiêu thể"
"lysozyme"	"lysozym, enzym phân giải"
"lyssa"	"(bệnh) dại"
"lytic"	"sinh tan"
"lytic cycle"	"chu trình tan"
"lytic infection"	"nhiễm tan"
"lytta"	"thể giun, vách lưới"
"lytta"	"(bệnh) dại"
"M cells"	"(các) tế bào M"
"MAA"	"viết tắt của Marketing Authorization Application"
"MAB"	"viết tắt của Monoclonal AntiBodies"
"maceration"	"(sự) ngâm"
"macrocyte"	"đại hồng cầu, hồng cầu lớn"
"macrofauna"	"hệ động vật lớn"
"macrogamete"	"đại giao tử, giao tử lớn"
"macroglia"	"tế bào thần kinh đệm"
"macroglobulin"	"macroglobulin, đại globulin"
"macromere"	"đại phôi bào, phôi bào lớn, tế bào cực thực vật"
"macromolecular"	"đại phân tử"
"macromolecules"	"đại phân tử"
"macronucleus"	"nhân lớn, nhân dinh dưỡng"
"macronutrient"	"chất dinh dưỡng đa lượng, nguyên tố đa lượng"
"macroparasites"	"ký sinh cỡ lớn"
"macrophage"	"đại thực bào, thể thực bào"
"macrophage colony stimulating factor (MCSF)"	"nhân tố kích thích hình thành khuẩn lạc đại thực bào"
"macrophagous"	"ăn mồi lớn"
"macrophyll"	"lá to, lá lớn"
"macroscopic"	"thô, vĩ mô, (có thể) nhìn bằng mắt thường"
"macroevolution"	"tiến hoá vic mô, tiến hoá lớn, tiến hoá qua các kỳ địa chất"
"macrosome"	"hạt lớn"
"macrosplanchnic"	"(có) thân dài chân ngắn"
"macrospore"	"đại bào tử, bào tử cái"
"macrosporophyll"	"lá đại bào tử, lá bào tử cái, đại bào tử diệp"
"macrotous"	"(có) tai to,  tai lớn"
"MACS (Magnetic Cell Sorting)"	"sàng lọc tế bào bằng từ tính"
"macula acustica"	"điểm thính giác, vết thính"
"macula"	"điểm, đốm, mấu nhỏ, hố nhỏ, lõm nhỏ"
"maculae"	"chấm, đốm, điểm"
"macula lutea"	"điểm vàng"
"macule"	"điểm, đốm, mấu nhỏ, hố nhỏ, lõm nhỏ"
"madreporite"	"tấm lỗ đỉnh"
"magainins"	"magainin (peptid kháng khuẩn)"
"Magendie’s foramen"	"lỗ Magendie"
"maggot"	"giòi"
"magic bullet"	"đạn thần"
"Maglinant tumor"	"ung thư ác tính"
"Magnesium"	"magie"
"magnetic antibodies"	"kháng thể từ tính"
"magnetic beads"	"hột từ tính"
"magnetic cell sorting"	"phân hạng tế bào bằng từ tính, sàng lọc tế bào bằng từ tính"
"magnetic labeling"	"đánh dấu bằng từ tính"
"magnetic particles"	"hạt từ tính"
"Magnoliidae"	"phân lớp Ngọc lan, tổng bộ Ngọc lan"
"Magnoliophyta"	"phân ngành Ngọc lan"
"Magnoliopsida"	"lớp Ngọc lan"
"Maillard reaction"	"phản ứng Maillard"
"maize"	"ngô"
"major basic protein"	"protein cơ bản trưởng thành"
"major depression"	"trầm cảm nghiêm trọng"
"major histocompatibility antigen"	"kháng nguyên phù hợp mô chính"
"major histocompatibility complex"	"phức hợp phù hợp mô chính"
"mal (multiple aleurone layer) gene"	"gen mal (gen qui định lớp đa aleuron)"
"malacia"	"(chứng) nhuyễn mô"
"macrosmatic"	"(có) cơ quan khứu giác phát triển"
"malacology"	"nhuyễn thể học"
"malacophily"	"(tính) thụ phấn nhờ thân mềm chân bụng"
"Malacostraca"	"phân lớp Giáp xác"
"malacotracous"	"(có) vỏ mềm"
"malar"	"(thuộc) vùng má, xương gò má"
"malaria"	"bệnh sốt rét"
"male"	"giống đực"
"male"	"đực, (thuộc) tính đực"
"male pronucleus"	"nhân nguyên đực, nhân tinh trùng"
"male sterility"	"(tính) bất thụ đực"
"maleic hydrazide"	"maleic hyđrazit"
"malignant"	"ác tính"
"malleolar"	"(thuộc) xương mắt cá"
"malleolar"	"mấu xương mác"
"malleolus"	"mắt cá, xương mắt cá"
"malleus"	"xương búa"
"malleus"	"xương nghiền"
"Mallophaga"	"bộ ăn lông"
"MALDI-TOF-MS"	"viết tắt của Matrix-Associated Laser Desorption Ionization Time of Flight Mass Spectrometry"
"male-sterile"	"bất thụ đực"
"Malonyl CoA"	"Malonyl CoA (dẫn xuất của Ac-CoA)"
"Malpighian body"	"tiểu thể Malpigi"
"Malpighian corpuscule"	"tiểu thể Malpigi"
"Malpighian cell"	"tế bào Malpigi"
"Malpighian layer"	"lớp Malpigi"
"Malpighian tubes"	"ống Malpigi"
"Malvaceae"	"họ Bông"
"mamilla"	"núm vú"
