"en","vi","description"
"fission reaction","phản ứng phân hạch","ˈfɪʃən riˈækʃən"
"fission fragment","mảnh vỡ phân hạch","ˈfɪʃən ˈfrægmənt"
"fission energy","năng lượng phân hạch","ˈfɪʃən ˈɛnərʤi"
"slow neutron","nơtron chậm","sloʊ ˈnuˌtrɑn"
"chain reaction","phản ứng dây chuyền","ʧeɪn riˈækʃən"
"nuclear fusion","sự tổng hợp hạt nhân","ˈnukliər ˈfjuʒən"
"fusion energy","năng lượng nhiệt hạch","ˈfjuʒən ˈɛnərʤi"
"nuclear reaction","phản ứng hạt nhân","ˈnukliər riˈækʃən"
"nuclear reactor","lò phản ứng hạt nhân","ˈnukliər riˈæktər"
"nuclear power plant","nhà máy điện hạt nhân","ˈnukliər ˈpaʊər plænt"
"special relativity","thuyết tương đối hẹp","ˈspɛʃəl ˌrɛləˈtɪvɪti"
"general relativity","thuyết tương đối tổng quát","ˈʤɛnərəl ˌrɛləˈtɪvɪti"
"postulate","tiên đề","ˈpɑsʧəleɪt"
"rest mass","khối lượng nghỉ","rɛst mæs"
"time dilation","sự trôi chậm của thời gian","taɪm daɪˈleɪʃən"
"length contraction","sự co ngắn chiều dài","lɛŋkθ kənˈtrækʃən"
"Lorentz transformation","phép biến đổi Lorentz","ˈlɔrɪnts ˌtrænsfərˈmeɪʃən"
"mass-energy equivalence","tương đương khối lượng - năng lượng","mæs-ˈɛnərʤi ɪˈkwɪvələns"
"twin paradox","nghịch lý sinh đôi","twɪn ˈpɛrəˌdɑks"
"correspondent principle","nguyên lý tương ứng","ˌkɔrəˈspɑndənt ˈprɪnsəpəl"
"principle of equivalence","nguyên lý tương đương","ˈprɪnsəpəl əv ɪˈkwɪvələns"
"bending of light by gravity","sự bẻ cong tia sáng do lực hấp dẫn","ˈbɛndɪŋ əv laɪt baɪ ˈgrævəti"
"gravitational lens","thấu kính hấp dẫn","ˌgrævɪˈteɪʃənəl lɛnz"
"gravitational redshift","sự dịch chuyển về phía đỏ do hấp dẫn","ˌgrævɪˈteɪʃənəl rɛdʃɪft"
"astronomy","thiên văn học","əˈstrɑnəmi"
"astronomical","(thuộc về) thiên văn học","ˌæstrəˈnɑmɪkəl"
"astronomer","nhà thiên văn","əˈstrɑnəmər"
"astronaut","phi hành gia","ˈæstrəˌnɑt"
"astrophysics","thiên văn vật lý","ˌæstroʊˈfɪzɪks"
"astronomical unit","đơn vị thiên văn","ˌæstrəˈnɑmɪkəl ˈjunɪt"
"light year","năm ánh sáng","laɪt jɪr"
"galaxy","thiên hà","ˈgæləksi"
"the Milky Way","Ngân hà","ðə ˈmɪlki weɪ"
"celestial body","thiên thể","səˈlɛsʧəl ˈbɑdi"
"celestial sphere","thiên cầu","səˈlɛsʧəl sfɪr"
"zenith","thiên đỉnh","ˈzinɪθ"
"horizon","chân trời","həˈraɪzən"
"diurnal motion","nhật động","daɪˈɜrnəl ˈmoʊʃən"
"star","ngôi sao","stɑr"
"nebula","tinh vân","ˈnɛbjələ"
"Sun","Mặt trời","sʌn"
"sun spot","vết đen mặt trời","sʌn spɑt"
"corona","vành nhật hoa","kəˈroʊnə"
"chromosphere","sắc quyển","ˈkroʊməˌsfir"
"solar wind","gió mặt trời","ˈsoʊlər wɪnd"
"solar energy","năng lượng mặt trời","ˈsoʊlər ˈɛnərʤi"
"solar system","hệ mặt trời","ˈsoʊlər ˈsɪstəm"
"Mercury","Thủy tinh","ˈmɜrkjəri"
"Venus","Kim tinh","ˈvinəs"
"Earth","Trái đất","ɜrθ"
"Mars","Hỏa tinh","mɑrz"
"Jupiter","Mộc tinh","ˈʤupɪtər"
"Saturn","Thổ tinh","ˈsætərn"
"Uranus","Thiên vương tinh","ˈjurənəs"
"Neptune","Hải vương tinh","ˈnɛptun"
"planet","hành tinh","ˈplænɪt"
"inner planets","các hành tinh trong","ˈɪnər ˈplænɪts"
"outer planets","các hành tinh ngoài","ˈaʊtər ˈplænɪts"
"moon","mặt trăng","mun"
"eclipse","thiên thực","ɪˈklɪps"
"umbra","vùng bóng tối","ˈʌmbrə"
"penumbra","vùng nửa tối","pɪˈnʌmbrə"
"solar eclipse","nhật thực","ˈsoʊlər ɪˈklɪps"
"lunar eclipse","nguyệt thực","ˈlunər ɪˈklɪps"
"total solar eclipse","nhật thực toàn phần","ˈtoʊtəl ˈsoʊlər ɪˈklɪps"
"total lunar eclipse","nguyệt thực toàn phần","ˈtoʊtəl ˈlunər ɪˈklɪps"
"partial solar eclipse","nhật thực một phần","ˈpɑrʃəl ˈsoʊlər ɪˈklɪps"
"partial lunar eclipse","nguyệt thực một phần","ˈpɑrʃəl ˈlunər ɪˈklɪps"
"annual solar eclipse","nhật thực hình khuyên","ˈænjuəl ˈsoʊlər ɪˈklɪps "
"moon phase","kỳ trăng","mun feɪz"
"new moon","trăng mới","nju mun"
"full moon","trăng tròn","fʊl mun"
"shooting star","sao băng","ˈʃutɪŋ stɑr"
"asteroid","thiên thạch","ˈæstəˌrɔɪd"
"meteoroid","mảnh thiên thạch","ˈmitiəˌrɔɪd"
"meteor","sao băng","ˈmitiər"
"meteor shower","mưa sao băng","ˈmitiər ˈʃaʊər"
"meteorite","vẫn thạch","ˈmitiɔˌraɪt"
"comet","sao chổi","ˈkɑmət"
"dwarf","sao lùn","dwɔrf"
"white dwarf","sao lùn trắng","waɪt dwɔrf"
"giant star","sao kềnh","ˈʤaɪənt stɑr"
"red giant","sao kềnh đỏ","rɛd ˈʤaɪənt"
"binary star","sao đôi","ˈbaɪnəri stɑr"
"nova (pl. novae)","vụ nổ sao mới","ˈnoʊvə ; ˈnoʊvi"
"supernova (pl. supernovae)","vụ nổ sao siêu mới","ˌsupərˈnoʊvə ; ˌsupərˈnoʊvi "
"neutron star","sao nơtron","ˈnuˌtrɑn stɑr"
"pulsar","sao xung (punxa)","ˈpʊlsər"
"black hole","lỗ đen","blæk hoʊl"
"event horizon","chân trời sự kiện","ɪˈvɛnt həˈraɪzən"
"black-hole singularity","điểm kỳ dị lỗ đen","blæk hoʊl ˌsɪŋgjəˈlærɪti"
